area1,district,building_type,year,price,rooms_count,no_first_no_last,area3_bins
44.0,Автозаводский район,кирпич,1961.0,4900000,2.0,False,1.0
32.0,Советский район,кирпич,1958.0,4000000,2.0,False,1.0
45.0,Канавинский район,кирпич,1972.0,4300000,2.0,True,1.0
30.8,Канавинский район,кирпич,1965.0,4200000,1.0,True,1.0
48.0,Московский район,панель,2016.0,7150000,2.0,True,1.0
28.0,Приокский район,кирпич,1959.0,2900000,1.0,False,1.0
12.7,Автозаводский район,панель,1978.0,2315000,0.8,False,0.0
27.6,Другой,панель,2021.0,4330000,1.0,True,0.0
44.8,Нижегородский район,кирпич,1971.0,6500000,2.0,False,1.0
59.1,Автозаводский район,панель,1963.0,6150000,3.0,False,1.0
39.4,Сормовский район,шлакоблок,1959.0,3099000,2.0,False,0.0
74.5,Приокский район,кирпич,1986.0,7700000,4.0,False,1.0
83.0,Автозаводский район,кирпич,1958.0,9300000,3.0,True,1.0
32.0,Советский район,кирпич,1958.0,4199999,2.0,False,1.0
47.5,Автозаводский район,панель,2019.0,6990000,2.0,True,2.0
37.0,Автозаводский район,шлакоблок,1959.0,3750000,2.0,False,1.0
23.4,Сормовский район,шлакоблок,1951.0,2200000,1.0,False,0.0
44.0,Московский район,кирпич,1959.0,4800000,2.0,True,1.0
41.0,Советский район,панель,2017.0,6400000,1.0,True,2.0
33.0,Приокский район,кирпич,1970.0,5700000,1.0,True,1.0
52.0,Канавинский район,кирпич,1947.0,4200000,3.0,False,1.0
37.0,Автозаводский район,шлакоблок,1958.0,3530000,2.0,False,1.0
31.9,Автозаводский район,панель,2015.0,4700000,1.0,True,1.0
57.4,Приокский район,панель,1991.0,6690000,3.0,False,1.0
30.6,Сормовский район,панель,2018.0,4200000,1.0,True,1.0
29.2,Московский район,кирпич,1958.0,4900000,1.0,False,1.0
20.8,Московский район,кирпич,1981.0,3700000,1.0,True,0.0
34.6,Автозаводский район,кирпич,1987.0,4000000,1.0,False,1.0
42.6,Ленинский район,панель,1967.0,6000000,2.0,True,1.0
50.8,Советский район,блок+утеплитель,2023.0,9200000,1.0,True,3.0
30.5,Канавинский район,кирпич,1961.0,4600000,2.0,True,1.0
54.2,Автозаводский район,блок+утеплитель,2017.0,8500000,2.0,True,2.0
32.1,Канавинский район,панель,1986.0,4500000,1.0,False,1.0
76.0,Другой,кирпич,2017.0,9790000,3.0,True,3.0
19.0,Нижегородский район,кирпич,1971.0,3850000,0.8,True,0.0
45.8,Автозаводский район,панель,1964.0,4300000,2.0,True,1.0
43.1,Канавинский район,кирпич,1963.0,4300000,2.0,True,1.0
46.6,Советский район,кирпич,1960.0,4400000,3.0,False,1.0
36.3,Нижегородский район,блок+утеплитель,2022.0,7150000,1.0,False,2.0
42.2,Автозаводский район,блок+утеплитель,2017.0,7550000,2.0,True,1.0
51.0,Автозаводский район,панель,1975.0,5650000,2.0,True,1.0
34.8,Ленинский район,панель,1994.0,4950000,1.0,False,1.0
45.1,Сормовский район,панель,2018.0,5300000,1.0,True,2.0
47.6,Советский район,кирпич,2006.0,8500000,1.0,False,2.0
27.5,Автозаводский район,блок+утеплитель,2026.0,4675000,0.8,False,0.0
66.3,Канавинский район,панель,1985.0,8000000,3.0,True,1.0
50.7,Московский район,кирпич,1974.0,5600000,3.0,True,1.0
57.2,Сормовский район,панель,1987.0,6400000,3.0,True,1.0
31.8,Ленинский район,панель,1967.0,3990000,1.0,True,1.0
45.8,Сормовский район,кирпич,1962.0,5500000,2.0,True,1.0
25.4,Советский район,блок+утеплитель,2023.0,4799000,0.8,True,0.0
63.0,Ленинский район,панель,1983.0,7500000,3.0,True,1.0
54.8,Московский район,кирпич,1964.0,5800000,3.0,False,1.0
57.4,Канавинский район,панель,2023.0,6700000,2.0,True,2.0
29.2,Автозаводский район,блок+утеплитель,2026.0,4905600,0.8,False,0.0
61.0,Советский район,панель,2012.0,8700000,2.0,True,2.0
43.0,Автозаводский район,панель,1989.0,6000000,2.0,True,1.0
43.7,Сормовский район,панель,2018.0,5400000,2.0,True,2.0
32.0,Советский район,кирпич,1959.0,3990000,1.0,False,1.0
33.2,Нижегородский район,панель,1987.0,6300000,1.0,True,1.0
33.0,Другой,кирпич,1986.0,2800000,1.0,False,1.0
44.0,Московский район,кирпич,1986.0,4700000,2.0,True,1.0
35.4,Автозаводский район,панель,1975.0,4990000,1.0,True,1.0
49.2,Московский район,кирпич,1973.0,4950000,2.0,True,1.0
24.72,Советский район,блок+утеплитель,2025.0,5660000,0.8,True,0.0
52.6,Нижегородский район,панель,1971.0,7650000,3.0,True,1.0
20.7,Московский район,кирпич,1975.0,3400000,1.0,True,1.0
